Change Component Comment : Designator=C19 Old Comment=0.027µF New Comment=dnp
Change Component Comment : Designator=R13 Old Comment=1k New Comment=10k
Change Component Comment : Designator=R14 Old Comment=1k New Comment=10k
Change Component Comment : Designator=R18 Old Comment=1k New Comment=10k
Change Component Comment : Designator=R21 Old Comment=1k New Comment=10k
Change Component Comment : Designator=C15 Old Comment=7.5nF New Comment=dnp
Change Component Comment : Designator=R8 Old Comment=75k New Comment=dnp
Change component parameters: Designator = "R16" ("R16"); Footprint = "RESC3216X65N"; UniqueID = "\ONXHVJBM" ("\ONXHVJBM")
Change component parameters (AddParameter): Name = "AN"; Value = "22757"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "ARCOL/Ohmite"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mixed"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "APC1206B200RN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "possibleValue"; Value = "200R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Preferred"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "284-APC1206B200RN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "TK100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "dnp"; VariantName = "[No Variations]"
Change component parameters: Designator = "C15" ("C15"); Footprint = "CAPC1608X07N"; UniqueID = "\ECXTQXFK" ("\ECXTQXFK")
Change component parameters (AddParameter): Name = "Dielectric"; Value = "C0G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "C0603C752J3GACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "possibleValue"; Value = "7.5nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "80-C0603C752J3GACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "dnp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C19" ("C19"); Footprint = "C_1206"; UniqueID = "\SJAAXFJE" ("\SJAAXFJE")
Change component parameters (AddParameter): Name = "Created"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "C0G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "GRM3195C1H273JA01D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "possibleValue"; Value = "0.027µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "81-GRM315C1H273JA01D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "dnp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8" ("R8"); Footprint = "RESC1608X06N"; UniqueID = "\JMMGCQSW" ("\JMMGCQSW")
Change component parameters (AddParameter): Name = "MF"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "AC0603FR-1375KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "possibleValue"; Value = "75k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "603-AC0603FR-1375KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "dnp"; VariantName = "[No Variations]"
Change component parameters: Designator = "R13" ("R13"); Footprint = "RESC1608X06N"; UniqueID = "\JPLLJWQA" ("\JPLLJWQA")
Change component parameters (AddParameter): Name = "MF"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "RE0603BRE0710KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "603-RE0603BRE0710KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "RESC1608X06N"; UniqueID = "\VNYTPQEI" ("\VNYTPQEI")
Change component parameters (AddParameter): Name = "MF"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "RE0603BRE0710KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "603-RE0603BRE0710KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R18" ("R18"); Footprint = "RESC1608X06N"; UniqueID = "\LNPTHKYF" ("\LNPTHKYF")
Change component parameters (AddParameter): Name = "MF"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "RE0603BRE0710KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "603-RE0603BRE0710KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R21" ("R21"); Footprint = "RESC1608X06N"; UniqueID = "\RSJLXYMN" ("\RSJLXYMN")
Change component parameters (AddParameter): Name = "MF"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "RE0603BRE0710KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "603-RE0603BRE0710KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=L5(LOGO_Tum)
Added Pin To Net: NetName=+5V Pin=TP10-1
Added Pin To Net: NetName=+5V Pin=U4-7
Added Member To Class: ClassName=PCBdesign Member=Component L5 Logos
