Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_A_ltc2311-16\Project Outputs for UZ_A_LTC2311\Rev05\Pick Place\PickPlace_UZ_A_LTC2311_Rev05.csv

========================================================================================================================
File Design Information:

Date:       04.07.21
Time:       17:33
Revision:   1e6061c2463f30b097637886b9c5147983e30a1f
Variant:    Standard
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C76","C_1206","110.8000","110.8000","7.4550","7.4550","110.8000","6.0050","270","10µF","TopLayer"
"C73","C_1206","68.2000","68.2000","94.4500","94.4500","68.2000","95.9000","90","10µF","TopLayer"
"C62","C_1206","54.8000","54.8000","6.3130","6.3130","54.8000","7.7630","90","10µF","TopLayer"
"C60","C_1206","44.8440","44.8440","4.5120","4.5120","43.3940","4.5120","180","10µF","TopLayer"
"C56","C_1206","37.5464","37.5464","5.3702","5.3702","37.5464","3.9202","270","10µF","TopLayer"
"C54","C_1206","37.6940","37.6940","90.7084","90.7084","36.2440","90.7084","180","10µF","TopLayer"
"C51","C_1206","47.6500","47.6500","92.4684","92.4684","47.6500","93.9184","90","10µF","TopLayer"
"C48","C_1206","31.5964","31.5964","91.6884","91.6884","31.5964","90.2384","270","10µF","TopLayer"
"C90","C_1206","4.5322","4.5322","27.6198","27.6198","5.9822","27.6198","360","10µF","TopLayer"
"C85","C_1206","3.5162","3.5162","18.2218","18.2218","4.9662","18.2218","360","10µF","TopLayer"
"C65","C_1206","12.1215","12.1215","74.0653","74.0653","13.5715","74.0653","360","10µF","TopLayer"
"C66","C_1206","12.1215","12.1215","76.4783","76.4783","13.5715","76.4783","360","10µF","TopLayer"
"C69","C_1206","18.3981","18.3981","83.1444","83.1444","18.3981","81.6944","270","10µF","TopLayer"
"C70","C_1206","20.9000","20.9000","83.1444","83.1444","20.9000","81.6944","270","10µF","TopLayer"
"C64","C_1206","136.7536","136.7536","69.4182","69.4182","138.2036","69.4182","360","100pF","TopLayer"
"C43","C_1206","128.0160","128.0160","26.2890","26.2890","128.0160","24.8390","270","10µF","TopLayer"
"C37","C_1206","128.1430","128.1430","11.5570","11.5570","128.1430","10.1070","270","10µF","TopLayer"
"C35","C_1206","128.1430","128.1430","19.1770","19.1770","128.1430","17.7270","270","10µF","TopLayer"
"C26","C_1206","84.4219","84.4219","9.3726","9.3726","82.9719","9.3726","180","10µF","TopLayer"
"C18","C_1206","62.1690","62.1690","6.6720","6.6720","62.1690","5.2220","270","10µF","TopLayer"
"C15","C_1206","71.3130","71.3130","6.6720","6.6720","71.3130","5.2220","270","10µF","TopLayer"
"C14","C_1206","31.7500","31.7500","14.2240","14.2240","33.2000","14.2240","0","10µF","TopLayer"
"C11","C_1206","28.4480","28.4480","5.5880","5.5880","28.4480","4.1380","270","10µF","TopLayer"
"C9","C_1206","12.7000","12.7000","18.2880","18.2880","12.7000","19.7380","90","10µF","TopLayer"
"C8","C_1206","10.1600","10.1600","18.2880","18.2880","10.1600","19.7380","90","10µF","TopLayer"
"C6","C_1206","27.9400","27.9400","20.0660","20.0660","27.9400","21.5160","90","0.027µF","TopLayer"
"C4","C_1206","17.5260","17.5260","24.6740","24.6740","17.5260","23.2240","270","10µF","TopLayer"
"C3","C_1206","14.9860","14.9860","24.6740","24.6740","14.9860","23.2240","270","10µF","TopLayer"
"C30E","Cap0805","43.6850","43.6850","54.2840","54.2840","42.6690","54.2840","90","10µF","TopLayer"
"C30B","Cap0805","43.6626","43.6626","24.4120","24.4120","42.6466","24.4120","90","10µF","TopLayer"
"C30G","Cap0805","43.5356","43.5356","71.7830","71.7830","42.5196","71.7830","90","10µF","TopLayer"
"C30D","Cap0805","43.5610","43.5610","41.6760","41.6760","42.5450","41.6760","90","10µF","TopLayer"
"C30H","Cap0805","59.3090","59.3090","81.3000","81.3000","58.2930","81.3000","90","10µF","TopLayer"
"C30C","Cap0805","60.1726","60.1726","33.9290","33.9290","59.1566","33.9290","90","10µF","TopLayer"
"C30F","Cap0805","59.6646","59.6646","64.6760","64.6760","58.6486","64.6760","90","10µF","TopLayer"
"C30A","Cap0805","60.1726","60.1726","15.1500","15.1500","59.1566","15.1500","90","10µF","TopLayer"
"C81","CAPC1608X07N","56.4000","56.4000","91.5000","91.5000","55.6250","91.5000","360","100nF","TopLayer"
"C80","CAPC1608X07N","56.4000","56.4000","93.6000","93.6000","56.4000","92.8250","90","100nF","TopLayer"
"C78","CAPC1608X07N","66.0000","66.0000","95.1000","95.1000","66.0000","95.8750","270","100nF","TopLayer"
"C79","CAPC1608X07N","117.7000","117.7000","5.4000","5.4000","118.4750","5.4000","180","10nF","TopLayer"
"C77","CAPC1608X07N","112.7000","112.7000","7.8750","7.8750","112.7000","8.6500","270","100nF","TopLayer"
"C24","CAPC1608X07N","118.7000","118.7000","7.7350","7.7350","118.7000","8.5100","270","100nF","TopLayer"
"C84","CAPC1608X07N","70.0624","70.0624","94.4593","94.4593","70.0624","95.2343","270","100nF","TopLayer"
"C39E","CAPC1608X07N","81.4272","81.4272","60.3214","60.3214","82.2022","60.3214","180","100nF","TopLayer"
